experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_5000_k_anonymity_1752872591,2025-07-18T22:03:11.829742,batch,healthcare,5000,k_anonymity,"{""k_value"": 3}",2.7700841426849365,0,0,2.7700841426849365,5000,1804.9993222060364,5000,1.0,84.8125,25.7,0.00934743881225586,0.025496959686279297,0.15,0.85,0.5,0.5540168285369873,0.5540168285369873,0.5540168285369873,0,0,0.5540168285369873,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752872597,2025-07-18T22:03:17.842706,batch,healthcare,5000,k_anonymity,"{""k_value"": 5}",3.0804829597473145,0,0,3.0804829597473145,5000,1623.1221095312078,5000,1.0,52.84375,12.6,0.014860391616821289,0.04925274848937988,0.25,0.75,0.5,0.6160965919494629,0.6160965919494629,0.6160965919494629,0,0,0.6160965919494629,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752872603,2025-07-18T22:03:23.562024,batch,healthcare,5000,k_anonymity,"{""k_value"": 10}",2.72278094291687,0,0,2.72278094291687,5000,1836.3577918404198,5000,1.0,50.015625,17.4,0.012070655822753906,0.0346684455871582,0.5,0.5,0.5,0.5445561885833741,0.5445561885833741,0.5445561885833741,0,0,0.5445561885833741,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752872609,2025-07-18T22:03:29.073340,batch,healthcare,5000,k_anonymity,"{""k_value"": 15}",2.5878210067749023,0,0,2.5878210067749023,5000,1932.1274488884762,5000,1.0,45.625,14.3,0.009865045547485352,0.03743481636047363,0.75,0.25,0.5,0.5175642013549805,0.5175642013549805,0.5175642013549805,0,0,0.5175642013549805,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_differential_privacy_1752872614,2025-07-18T22:03:34.636779,batch,healthcare,5000,differential_privacy,"{""epsilon"": 0.1}",2.589937210083008,0,0,2.589937210083008,5000,1930.5487332025896,5000,1.0,82.234375,13.1,0.07865214347839355,0.040764570236206055,0.9,0.09999999999999998,0.5,0.5179874420166015,0.5179874420166015,0.5179874420166015,0,0,0.5179874420166015,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752872620,2025-07-18T22:03:40.112226,batch,healthcare,5000,differential_privacy,"{""epsilon"": 0.5}",2.553673028945923,0,0,2.553673028945923,5000,1957.964055431108,5000,1.0,52.484375,12.2,0.15851426124572754,0.06382131576538086,0.5,0.5,0.5,0.5107346057891846,0.5107346057891846,0.5107346057891846,0,0,0.5107346057891846,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752872625,2025-07-18T22:03:45.634581,batch,healthcare,5000,differential_privacy,"{""epsilon"": 1.0}",2.5784361362457275,0,0,2.5784361362457275,5000,1939.1599154672624,5000,1.0,53.265625,13.8,0.11677670478820801,0.0535280704498291,0.0,1.0,0.5,0.5156872272491455,0.5156872272491455,0.5156872272491455,0,0,0.5156872272491455,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752872631,2025-07-18T22:03:51.137388,batch,healthcare,5000,differential_privacy,"{""epsilon"": 2.0}",2.567168951034546,0,0,2.567168951034546,5000,1947.6707982094615,5000,1.0,54.609375,10.8,0.12298464775085449,0.05043387413024902,0.0,1.0,0.5,0.5134337902069092,0.5134337902069092,0.5134337902069092,0,0,0.5134337902069092,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_tokenization_1752872636,2025-07-18T22:03:56.680530,batch,healthcare,5000,tokenization,"{""key_length"": 128}",2.576880931854248,0,0,2.576880931854248,5000,1940.3302411812044,5000,1.0,51.15625,28.1,0.06812119483947754,0.031939029693603516,0.5,0.5,0.5,0.5153761863708496,0.5153761863708496,0.5153761863708496,0,0,0.5153761863708496,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_5000_tokenization_1752872642,2025-07-18T22:04:02.150302,batch,healthcare,5000,tokenization,"{""key_length"": 256}",2.5014231204986572,0,0,2.5014231204986572,5000,1998.8621513193868,5000,1.0,90.078125,10.6,0.06860876083374023,0.03362250328063965,0.5,0.5,0.5,0.5002846240997314,0.5002846240997314,0.5002846240997314,0,0,0.5002846240997314,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_5000_tokenization_1752872647,2025-07-18T22:04:07.755455,batch,healthcare,5000,tokenization,"{""key_length"": 512}",2.64367413520813,0,0,2.64367413520813,5000,1891.3072278502896,5000,1.0,50.90625,9.0,0.05625104904174805,0.02712559700012207,0.5,0.5,0.5,0.528734827041626,0.528734827041626,0.528734827041626,0,0,0.528734827041626,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_k_anonymity_1752872653,2025-07-18T22:04:13.250530,batch,financial,5000,k_anonymity,"{""k_value"": 3}",2.5175671577453613,0,0,2.5175671577453613,5000,1986.044338327726,4359,0.8718,51.34375,8.6,0.005635499954223633,0.009425640106201172,0.15,0.85,0.5,0.5035134315490722,0.5035134315490722,0.5035134315490722,0,0,0.5035134315490722,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752872659,2025-07-18T22:04:19.410189,batch,financial,5000,k_anonymity,"{""k_value"": 5}",3.0868546962738037,0,0,3.0868546962738037,5000,1619.7717391866834,4359,0.8718,53.921875,23.9,0.02038264274597168,0.01660943031311035,0.25,0.75,0.5,0.6173709392547607,0.6173709392547607,0.6173709392547607,0,0,0.6173709392547607,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752872664,2025-07-18T22:04:24.990240,batch,financial,5000,k_anonymity,"{""k_value"": 10}",2.5944018363952637,0,0,2.5944018363952637,5000,1927.2265112744228,4359,0.8718,75.171875,10.3,0.010172367095947266,0.012451648712158203,0.5,0.5,0.5,0.5188803672790527,0.5188803672790527,0.5188803672790527,0,0,0.5188803672790527,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752872670,2025-07-18T22:04:30.552352,batch,financial,5000,k_anonymity,"{""k_value"": 15}",2.5719282627105713,0,0,2.5719282627105713,5000,1944.0666648806405,4359,0.8718,50.40625,13.8,0.0065119266510009766,0.010945558547973633,0.75,0.25,0.5,0.5143856525421142,0.5143856525421142,0.5143856525421142,0,0,0.5143856525421142,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_differential_privacy_1752872675,2025-07-18T22:04:35.989154,batch,financial,5000,differential_privacy,"{""epsilon"": 0.1}",2.4985122680664062,0,0,2.4985122680664062,5000,2001.190894239431,4359,0.8718,94.84375,13.4,0.025374412536621094,0.013625383377075195,0.9,0.09999999999999998,0.5,0.49970245361328125,0.49970245361328125,0.49970245361328125,0,0,0.49970245361328125,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_differential_privacy_1752872681,2025-07-18T22:04:41.519447,batch,financial,5000,differential_privacy,"{""epsilon"": 0.5}",2.56677508354187,0,0,2.56677508354187,5000,1947.9696651490572,4359,0.8718,95.796875,7.1,0.01864480972290039,0.011890172958374023,0.5,0.5,0.5,0.513355016708374,0.513355016708374,0.513355016708374,0,0,0.513355016708374,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_differential_privacy_1752872687,2025-07-18T22:04:47.056755,batch,financial,5000,differential_privacy,"{""epsilon"": 1.0}",2.5445010662078857,0,0,2.5445010662078857,5000,1965.0217743675726,4359,0.8718,48.75,11.3,0.027435779571533203,0.015408039093017578,0.0,1.0,0.5,0.5089002132415772,0.5089002132415772,0.5089002132415772,0,0,0.5089002132415772,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_differential_privacy_1752872692,2025-07-18T22:04:52.843789,batch,financial,5000,differential_privacy,"{""epsilon"": 2.0}",2.6612441539764404,0,0,2.6612441539764404,5000,1878.8204729464533,4359,0.8718,49.609375,15.3,0.058293819427490234,0.028482913970947266,0.0,1.0,0.5,0.5322488307952881,0.5322488307952881,0.5322488307952881,0,0,0.5322488307952881,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_tokenization_1752872698,2025-07-18T22:04:58.345599,batch,financial,5000,tokenization,"{""key_length"": 128}",2.533879041671753,0,0,2.533879041671753,5000,1973.259148432436,4359,0.8718,52.5,13.1,0.04053688049316406,0.012057781219482422,0.5,0.5,0.5,0.5067758083343505,0.5067758083343505,0.5067758083343505,0,0,0.5067758083343505,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_tokenization_1752872703,2025-07-18T22:05:03.852362,batch,financial,5000,tokenization,"{""key_length"": 256}",2.5390100479125977,0,0,2.5390100479125977,5000,1969.2714505445388,4359,0.8718,92.015625,16.9,0.043654441833496094,0.016138792037963867,0.5,0.5,0.5,0.5078020095825195,0.5078020095825195,0.5078020095825195,0,0,0.5078020095825195,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_tokenization_1752872709,2025-07-18T22:05:09.463351,batch,financial,5000,tokenization,"{""key_length"": 512}",2.628161907196045,0,0,2.628161907196045,5000,1902.4703106417219,4359,0.8718,55.328125,8.3,0.08909344673156738,0.036650896072387695,0.5,0.5,0.5,0.525632381439209,0.525632381439209,0.525632381439209,0,0,0.525632381439209,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
