experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_financial_1000_k_anonymity_1752761596,2025-07-17T15:13:16.691225,batch,financial,1000,k_anonymity,"{""k_value"": 5}",2.251595973968506,0,0,2.251595973968506,1000,444.1294137853115,891,0.891,88.796875,2.7,0.009806632995605469,0.0025544166564941406,0.25,0.75,0.5,2.251595973968506,2.251595973968506,2.251595973968506,0,2.251595973968506,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_1000_k_anonymity_1752761601,2025-07-17T15:13:21.845568,batch,financial,1000,k_anonymity,"{""k_value"": 10}",2.209520101547241,0,0,2.209520101547241,1000,452.5869664185172,891,0.891,89.0,0.0,0.0014140605926513672,0.002536773681640625,0.5,0.5,0.5,2.209520101547241,2.209520101547241,2.209520101547241,0,2.209520101547241,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_1000_k_anonymity_1752761607,2025-07-17T15:13:27.040671,batch,financial,1000,k_anonymity,"{""k_value"": 15}",2.2591240406036377,0,0,2.2591240406036377,1000,442.6494437785719,891,0.891,88.734375,0.0,0.0052165985107421875,0.002622842788696289,0.75,0.25,0.5,2.2591240406036377,2.2591240406036377,2.2591240406036377,0,2.2591240406036377,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_1000_differential_privacy_1752761612,2025-07-17T15:13:32.153222,batch,financial,1000,differential_privacy,"{""epsilon"": 0.1}",2.2000629901885986,0,0,2.2000629901885986,1000,454.5324404162973,891,0.891,88.859375,7.4,0.007694244384765625,0.00274658203125,0.9,0.09999999999999998,0.5,2.2000629901885986,2.2000629901885986,2.2000629901885986,0,2.2000629901885986,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_1000_differential_privacy_1752761617,2025-07-17T15:13:37.358859,batch,financial,1000,differential_privacy,"{""epsilon"": 0.5}",2.2771730422973633,0,0,2.2771730422973633,1000,439.1409793746432,891,0.891,88.796875,5.8,0.0036211013793945312,0.0020143985748291016,0.5,0.5,0.5,2.2771730422973633,2.2771730422973633,2.2771730422973633,0,2.2771730422973633,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_1000_differential_privacy_1752761622,2025-07-17T15:13:42.485850,batch,financial,1000,differential_privacy,"{""epsilon"": 1.0}",2.175187826156616,0,0,2.175187826156616,1000,459.73041407045775,891,0.891,88.90625,10.3,0.004861354827880859,0.002878427505493164,0.0,1.0,0.5,2.175187826156616,2.175187826156616,2.175187826156616,0,2.175187826156616,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_1000_differential_privacy_1752761627,2025-07-17T15:13:47.727045,batch,financial,1000,differential_privacy,"{""epsilon"": 2.0}",2.281440019607544,0,0,2.281440019607544,1000,438.3196539929291,891,0.891,88.875,24.4,0.004208803176879883,0.002445220947265625,0.0,1.0,0.5,2.281440019607544,2.281440019607544,2.281440019607544,0,2.281440019607544,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_1000_tokenization_1752761632,2025-07-17T15:13:52.870318,batch,financial,1000,tokenization,"{""key_length"": 128}",2.2344048023223877,0,0,2.2344048023223877,1000,447.54647813172596,891,0.891,88.765625,7.9,0.006958723068237305,0.0030701160430908203,0.5,0.5,0.5,2.2344048023223877,2.2344048023223877,2.2344048023223877,0,2.2344048023223877,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_1000_tokenization_1752761638,2025-07-17T15:13:58.250580,batch,financial,1000,tokenization,"{""key_length"": 256}",2.2749390602111816,0,0,2.2749390602111816,1000,439.5722142584208,891,0.891,89.046875,22.5,0.007421970367431641,0.0025446414947509766,0.5,0.5,0.5,2.2749390602111816,2.2749390602111816,2.2749390602111816,0,2.2749390602111816,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_1000_tokenization_1752761643,2025-07-17T15:14:03.368027,batch,financial,1000,tokenization,"{""key_length"": 512}",2.2125091552734375,0,0,2.2125091552734375,1000,451.9755308657301,891,0.891,88.875,8.9,0.005835533142089844,0.0024566650390625,0.5,0.5,0.5,2.2125091552734375,2.2125091552734375,2.2125091552734375,0,2.2125091552734375,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_5000_k_anonymity_1752761648,2025-07-17T15:14:08.821960,batch,healthcare,5000,k_anonymity,"{""k_value"": 3}",2.4937589168548584,0,0,2.4937589168548584,5000,2005.0053620684496,5000,1.0,104.671875,8.1,0.016935348510742188,0.03171348571777344,0.15,0.85,0.5,0.4987517833709717,0.4987517833709717,0.4987517833709717,0,0.4987517833709717,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752761654,2025-07-17T15:14:14.198671,batch,healthcare,5000,k_anonymity,"{""k_value"": 5}",2.4551970958709717,0,0,2.4551970958709717,5000,2036.4963808440273,5000,1.0,104.796875,9.9,0.021959543228149414,0.06468033790588379,0.25,0.75,0.5,0.49103941917419436,0.49103941917419436,0.49103941917419436,0,0.49103941917419436,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752761659,2025-07-17T15:14:19.576102,batch,healthcare,5000,k_anonymity,"{""k_value"": 10}",2.422266960144043,0,0,2.422266960144043,5000,2064.1820584889906,5000,1.0,104.921875,5.0,0.021912813186645508,0.02943134307861328,0.5,0.5,0.5,0.4844533920288086,0.4844533920288086,0.4844533920288086,0,0.4844533920288086,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_k_anonymity_1752761664,2025-07-17T15:14:24.870653,batch,healthcare,5000,k_anonymity,"{""k_value"": 15}",2.35793399810791,0,0,2.35793399810791,5000,2120.500405868942,5000,1.0,104.359375,4.9,0.00753474235534668,0.024362802505493164,0.75,0.25,0.5,0.471586799621582,0.471586799621582,0.471586799621582,0,0.471586799621582,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_5000_differential_privacy_1752761670,2025-07-17T15:14:30.166229,batch,healthcare,5000,differential_privacy,"{""epsilon"": 0.1}",2.391254186630249,0,0,2.391254186630249,5000,2090.9529517838464,5000,1.0,105.96875,7.5,0.05719709396362305,0.031565189361572266,0.9,0.09999999999999998,0.5,0.4782508373260498,0.4782508373260498,0.4782508373260498,0,0.4782508373260498,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752761675,2025-07-17T15:14:35.548121,batch,healthcare,5000,differential_privacy,"{""epsilon"": 0.5}",2.439751148223877,0,0,2.439751148223877,5000,2049.389341876104,5000,1.0,105.78125,17.6,0.04898214340209961,0.03790926933288574,0.5,0.5,0.5,0.4879502296447754,0.4879502296447754,0.4879502296447754,0,0.4879502296447754,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752761680,2025-07-17T15:14:40.868894,batch,healthcare,5000,differential_privacy,"{""epsilon"": 1.0}",2.371453285217285,0,0,2.371453285217285,5000,2108.4117621747178,5000,1.0,105.953125,6.9,0.06345963478088379,0.04425191879272461,0.0,1.0,0.5,0.474290657043457,0.474290657043457,0.474290657043457,0,0.474290657043457,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_differential_privacy_1752761686,2025-07-17T15:14:46.231952,batch,healthcare,5000,differential_privacy,"{""epsilon"": 2.0}",2.435911178588867,0,0,2.435911178588867,5000,2052.619998606238,5000,1.0,106.125,5.0,0.061769723892211914,0.03588294982910156,0.0,1.0,0.5,0.4871822357177734,0.4871822357177734,0.4871822357177734,0,0.4871822357177734,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_5000_tokenization_1752761691,2025-07-17T15:14:51.523611,batch,healthcare,5000,tokenization,"{""key_length"": 128}",2.373866081237793,0,0,2.373866081237793,5000,2106.268773760344,5000,1.0,105.21875,9.8,0.08207035064697266,0.03748631477355957,0.5,0.5,0.5,0.4747732162475586,0.4747732162475586,0.4747732162475586,0,0.4747732162475586,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_5000_tokenization_1752761697,2025-07-17T15:14:57.086157,batch,healthcare,5000,tokenization,"{""key_length"": 256}",2.625986099243164,0,0,2.625986099243164,5000,1904.0466365915079,5000,1.0,105.328125,14.7,0.04949831962585449,0.025474071502685547,0.5,0.5,0.5,0.5251972198486328,0.5251972198486328,0.5251972198486328,0,0.5251972198486328,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_5000_tokenization_1752761702,2025-07-17T15:15:02.377384,batch,healthcare,5000,tokenization,"{""key_length"": 512}",2.379188060760498,0,0,2.379188060760498,5000,2101.557284379516,5000,1.0,105.796875,9.0,0.05906319618225098,0.03138017654418945,0.5,0.5,0.5,0.47583761215209963,0.47583761215209963,0.47583761215209963,0,0.47583761215209963,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_5000_k_anonymity_1752761707,2025-07-17T15:15:07.786633,batch,financial,5000,k_anonymity,"{""k_value"": 3}",2.4339072704315186,0,0,2.4339072704315186,5000,2054.3099816261806,4415,0.883,104.515625,6.2,0.007490396499633789,0.018161296844482422,0.15,0.85,0.5,0.4867814540863037,0.4867814540863037,0.4867814540863037,0,0.4867814540863037,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752761713,2025-07-17T15:15:13.092552,batch,financial,5000,k_anonymity,"{""k_value"": 5}",2.3638768196105957,0,0,2.3638768196105957,5000,2115.1694362922244,4415,0.883,104.3125,9.3,0.007744789123535156,0.01313018798828125,0.25,0.75,0.5,0.47277536392211916,0.47277536392211916,0.47277536392211916,0,0.47277536392211916,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752761718,2025-07-17T15:15:18.445796,batch,financial,5000,k_anonymity,"{""k_value"": 10}",2.412613868713379,0,0,2.412613868713379,5000,2072.4410419917076,4415,0.883,104.125,6.8,0.009321928024291992,0.021276473999023438,0.5,0.5,0.5,0.48252277374267577,0.48252277374267577,0.48252277374267577,0,0.48252277374267577,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_k_anonymity_1752761723,2025-07-17T15:15:23.788328,batch,financial,5000,k_anonymity,"{""k_value"": 15}",2.398179054260254,0,0,2.398179054260254,5000,2084.9152156165037,4415,0.883,104.296875,10.2,0.00885629653930664,0.01774454116821289,0.75,0.25,0.5,0.47963581085205076,0.47963581085205076,0.47963581085205076,0,0.47963581085205076,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_5000_differential_privacy_1752761729,2025-07-17T15:15:29.085292,batch,financial,5000,differential_privacy,"{""epsilon"": 0.1}",2.3859713077545166,0,0,2.3859713077545166,5000,2095.5826181772472,4415,0.883,104.8125,5.9,0.017961978912353516,0.013299226760864258,0.9,0.09999999999999998,0.5,0.47719426155090333,0.47719426155090333,0.47719426155090333,0,0.47719426155090333,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_5000_differential_privacy_1752761734,2025-07-17T15:15:34.389539,batch,financial,5000,differential_privacy,"{""epsilon"": 0.5}",2.351947069168091,0,0,2.351947069168091,5000,2125.8981826357826,4415,0.883,104.75,6.7,0.02104663848876953,0.013852596282958984,0.5,0.5,0.5,0.47038941383361815,0.47038941383361815,0.47038941383361815,0,0.47038941383361815,True,,TRUE COLD START: Batch processing with differential_privacy
