experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_20000_k_anonymity_1752869326,2025-07-18T21:08:46.794476,batch,healthcare,20000,k_anonymity,"{""k_value"": 3}",3.51312518119812,0,0,3.51312518119812,20000,5692.936906159199,20000,1.0,143.015625,10.3,0.052564144134521484,0.14778876304626465,0.15,0.85,0.5,0.175656259059906,0.175656259059906,0.175656259059906,0,0,0.175656259059906,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752869333,2025-07-18T21:08:53.197370,batch,healthcare,20000,k_anonymity,"{""k_value"": 5}",3.3033108711242676,0,0,3.3033108711242676,20000,6054.531583699564,20000,1.0,102.796875,11.7,0.054234981536865234,0.11955595016479492,0.25,0.75,0.5,0.16516554355621338,0.16516554355621338,0.16516554355621338,0,0,0.16516554355621338,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752869340,2025-07-18T21:09:00.067615,batch,healthcare,20000,k_anonymity,"{""k_value"": 10}",3.644674777984619,0,0,3.644674777984619,20000,5487.458063695691,20000,1.0,121.9375,12.4,0.06562495231628418,0.1355736255645752,0.5,0.5,0.5,0.18223373889923095,0.18223373889923095,0.18223373889923095,0,0,0.18223373889923095,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752869346,2025-07-18T21:09:06.383300,batch,healthcare,20000,k_anonymity,"{""k_value"": 15}",3.3461790084838867,0,0,3.3461790084838867,20000,5976.966548798523,20000,1.0,98.765625,11.0,0.06261587142944336,0.1219027042388916,0.75,0.25,0.5,0.16730895042419433,0.16730895042419433,0.16730895042419433,0,0,0.16730895042419433,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_differential_privacy_1752869352,2025-07-18T21:09:12.679220,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.1}",3.2923758029937744,0,0,3.2923758029937744,20000,6074.640684035491,20000,1.0,95.9375,13.0,0.21246099472045898,0.148301362991333,0.9,0.09999999999999998,0.5,0.16461879014968872,0.16461879014968872,0.16461879014968872,0,0,0.16461879014968872,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752869358,2025-07-18T21:09:18.992203,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.5}",3.2499477863311768,0,0,3.2499477863311768,20000,6153.945021553019,20000,1.0,104.921875,16.1,0.2740821838378906,0.14448189735412598,0.5,0.5,0.5,0.16249738931655883,0.16249738931655883,0.16249738931655883,0,0,0.16249738931655883,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752869365,2025-07-18T21:09:25.397675,batch,healthcare,20000,differential_privacy,"{""epsilon"": 1.0}",3.359666109085083,0,0,3.359666109085083,20000,5952.97251292822,20000,1.0,123.515625,9.9,0.31009840965270996,0.15721821784973145,0.0,1.0,0.5,0.16798330545425416,0.16798330545425416,0.16798330545425416,0,0,0.16798330545425416,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752869371,2025-07-18T21:09:31.594276,batch,healthcare,20000,differential_privacy,"{""epsilon"": 2.0}",3.2051308155059814,0,0,3.2051308155059814,20000,6239.994917911854,20000,1.0,105.03125,10.7,0.35294127464294434,0.15387487411499023,0.0,1.0,0.5,0.16025654077529908,0.16025654077529908,0.16025654077529908,0,0,0.16025654077529908,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_tokenization_1752869377,2025-07-18T21:09:37.852203,batch,healthcare,20000,tokenization,"{""key_length"": 128}",3.2612102031707764,0,0,3.2612102031707764,20000,6132.6926981139095,20000,1.0,145.078125,9.2,0.32826852798461914,0.17126083374023438,0.5,0.5,0.5,0.1630605101585388,0.1630605101585388,0.1630605101585388,0,0,0.1630605101585388,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_20000_tokenization_1752869384,2025-07-18T21:09:44.019038,batch,healthcare,20000,tokenization,"{""key_length"": 256}",3.232149839401245,0,0,3.232149839401245,20000,6187.8319365617635,20000,1.0,102.453125,12.7,0.274594783782959,0.14610600471496582,0.5,0.5,0.5,0.16160749197006224,0.16160749197006224,0.16160749197006224,0,0,0.16160749197006224,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
