pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds_mean,pure_processing_time_seconds_std,pure_processing_time_seconds_sem,pre_processing_time_seconds_mean,pre_processing_time_seconds_std,pre_processing_time_seconds_sem,post_processing_time_seconds_mean,post_processing_time_seconds_std,post_processing_time_seconds_sem,total_time_seconds_mean,total_time_seconds_std,total_time_seconds_sem,records_processed_mean,records_processed_std,records_processed_sem,records_per_second_mean,records_per_second_std,records_per_second_sem,violations_detected_mean,violations_detected_std,violations_detected_sem,violation_rate_mean,violation_rate_std,violation_rate_sem,memory_usage_mb_mean,memory_usage_mb_std,memory_usage_mb_sem,cpu_usage_percent_mean,cpu_usage_percent_std,cpu_usage_percent_sem,anonymization_overhead_seconds_mean,anonymization_overhead_seconds_std,anonymization_overhead_seconds_sem,compliance_check_time_seconds_mean,compliance_check_time_seconds_std,compliance_check_time_seconds_sem,avg_latency_ms_mean,avg_latency_ms_std,avg_latency_ms_sem,max_latency_ms_mean,max_latency_ms_std,max_latency_ms_sem,min_latency_ms_mean,min_latency_ms_std,min_latency_ms_sem,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_sem,subprocess_overhead_ms_mean,subprocess_overhead_ms_std,subprocess_overhead_ms_sem,e2e_latency_ms_mean,e2e_latency_ms_std,e2e_latency_ms_sem,router_time_ms_mean,router_time_ms_std,router_time_ms_sem,stream_percentage_mean,stream_percentage_std,stream_percentage_sem,batch_percentage_mean,batch_percentage_std,batch_percentage_sem,information_loss_score_mean,information_loss_score_std,information_loss_score_sem,utility_preservation_score_mean,utility_preservation_score_std,utility_preservation_score_sem,privacy_level_score_mean,privacy_level_score_std,privacy_level_score_sem,success_mean,success_std,success_sem,error_message_mean,error_message_std,error_message_sem
batch,ecommerce,40000,k_anonymity,"{""k_value"": 10}",4.258441050847371,0.09528168933841982,0.05501090898837898,0.0,0.0,0.0,0.0,0.0,0.0,4.258441050847371,0.09528168933841982,0.05501090898837898,40000.0,0.0,0.0,9396.204944554802,207.56663024521248,119.83864984685694,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,192.19791666666666,1.3807880072021639,0.7971983276519763,13.200000000000001,3.2449961479175906,1.8734993995195195,0.0745031038920084,0.007357939729236002,0.004248108483355448,0.06365164120992016,0.014622591028548479,0.008442356866582271,0.10646102627118424,0.002382042233460485,0.0013752727247094683,0.10646102627118424,0.002382042233460485,0.0013752727247094683,0.10646102627118424,0.002382042233460485,0.0013752727247094683,0.0,0.0,0.0,0.0,0.0,0.0,0.10646102627118424,0.002382042233460485,0.0013752727247094683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947368421052631,0.0,0.0,0.8052631578947368,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,k_anonymity,"{""k_value"": 15}",4.358302036921184,0.15744775155393417,0.09090250174296521,0.0,0.0,0.0,0.0,0.0,0.0,4.358302036921184,0.15744775155393417,0.09090250174296521,40000.0,0.0,0.0,9185.94798297133,334.7981443911446,193.29579878841452,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,192.01041666666666,27.0356496299138,15.609039591547138,11.866666666666667,0.87368949480541,0.5044248650140516,0.08659005165100093,0.016032061556711986,0.009256115055432317,0.07619937260945633,0.034082821339100317,0.01967772607487149,0.1089575509230295,0.003936193788848381,0.0022725625435741454,0.1089575509230295,0.003936193788848381,0.0022725625435741454,0.1089575509230295,0.003936193788848381,0.0022725625435741454,0.0,0.0,0.0,0.0,0.0,0.0,0.1089575509230295,0.003936193788848381,0.0022725625435741454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947368421052631,0.0,0.0,0.8052631578947368,0.0,0.0,0.9333333333333332,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,k_anonymity,"{""k_value"": 3}",4.371711889902751,0.08080364462119831,0.0466520059735517,0.0,0.0,0.0,0.0,0.0,0.0,4.371711889902751,0.08080364462119831,0.0466520059735517,40000.0,0.0,0.0,9151.79681411612,167.42395512282806,96.66226555895662,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,170.515625,9.284734720395893,5.360544090174834,13.666666666666666,5.919740985324724,3.41776405141009,0.08356904983520501,0.01171885513226529,0.006765884165207592,0.06229122479756669,0.013289363785883497,0.007672617759138702,0.1092927972475687,0.002020091115529952,0.0011663001493387893,0.1092927972475687,0.002020091115529952,0.0011663001493387893,0.1092927972475687,0.002020091115529952,0.0011663001493387893,0.0,0.0,0.0,0.0,0.0,0.0,0.1092927972475687,0.002020091115529952,0.0011663001493387893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947368421052631,0.0,0.0,0.8052631578947368,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,k_anonymity,"{""k_value"": 5}",4.254236618677775,0.13892589039834163,0.08020890021889099,0.0,0.0,0.0,0.0,0.0,0.0,4.254236618677775,0.13892589039834163,0.08020890021889099,40000.0,0.0,0.0,9409.20778588755,313.0785214022101,180.755968609056,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,205.14583333333334,27.038390193775097,15.61062185683019,17.5,6.878953408767935,3.9715656022950614,0.07443761825561519,0.01645474306868918,0.009500150340153826,0.062122027079264265,0.0171455728384575,0.009899001093693773,0.10635591546694434,0.003473147259958574,0.002005222505472294,0.10635591546694434,0.003473147259958574,0.002005222505472294,0.10635591546694434,0.003473147259958574,0.002005222505472294,0.0,0.0,0.0,0.0,0.0,0.0,0.10635591546694434,0.003473147259958574,0.002005222505472294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947368421052631,0.0,0.0,0.8052631578947368,0.0,0.0,0.8000000000000002,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,tokenization,"{""key_length"": 128}",4.378947575887044,0.09917688375721305,0.05725980053461518,0.0,0.0,0.0,0.0,0.0,0.0,4.378947575887044,0.09917688375721305,0.05725980053461518,40000.0,0.0,0.0,9137.706088757417,204.72935153932295,118.20054622224562,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,189.75520833333334,49.527753556928396,28.594861848450055,13.6,4.326661530556787,2.497999199359359,0.34694695472717285,0.037174268521767216,0.021462573937969732,0.06109642982482904,0.010131136391915036,0.00584921432306896,0.1094736893971761,0.002479422093930331,0.0014314950133653822,0.1094736893971761,0.002479422093930331,0.0014314950133653822,0.1094736893971761,0.002479422093930331,0.0014314950133653822,0.0,0.0,0.0,0.0,0.0,0.0,0.1094736893971761,0.002479422093930331,0.0014314950133653822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24724138712118804,1.6334260517017804e-06,9.430589706513705e-07,0.7527586128788121,1.633426051657404e-06,9.430589706257498e-07,0.25,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,tokenization,"{""key_length"": 256}",4.369572083155314,0.12651318939122638,0.07304242395106267,0.0,0.0,0.0,0.0,0.0,0.0,4.369572083155314,0.12651318939122638,0.07304242395106267,40000.0,0.0,0.0,9159.403625773624,268.851022707017,155.22121033180247,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,176.125,13.129417039490939,7.580272462052953,25.966666666666665,16.61154217203608,9.590678344679853,0.3479600747426351,0.09361046038810043,0.05404602450403459,0.07912739117940264,0.043774862958519005,0.025273428912839922,0.10923930207888283,0.0031628297347806606,0.0018260605987765672,0.10923930207888283,0.0031628297347806606,0.0018260605987765672,0.10923930207888283,0.0031628297347806606,0.0018260605987765672,0.0,0.0,0.0,0.0,0.0,0.0,0.10923930207888283,0.0031628297347806606,0.0018260605987765672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24736470734778068,4.906143203020751e-07,2.8325630989468836e-07,0.7526352926522194,4.906143202543988e-07,2.8325630986716244e-07,0.5,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,40000,tokenization,"{""key_length"": 512}",4.324416001637776,0.058119516218485816,0.033555318333913606,0.0,0.0,0.0,0.0,0.0,0.0,4.324416001637776,0.058119516218485816,0.033555318333913606,40000.0,0.0,0.0,9250.91924312208,124.48520250549547,71.87156517667289,4000.0,0.0,0.0,0.10000000000000002,0.0,0.0,179.13541666666666,20.211149395713083,11.66891254424669,11.866666666666667,3.2347076117221683,1.8675593103775252,0.3312983512878418,0.027412965659068592,0.01582688310254922,0.07309460639953609,0.021347407118061955,0.012324931246113602,0.10811040004094434,0.0014529879054621287,0.0008388829583478306,0.10811040004094434,0.0014529879054621287,0.0008388829583478306,0.10811040004094434,0.0014529879054621287,0.0008388829583478306,0.0,0.0,0.0,0.0,0.0,0.0,0.10811040004094434,0.0014529879054621287,0.0008388829583478306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2473684210526315,0.0,0.0,0.7526315789473687,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,50000,differential_privacy,"{""epsilon"": 0.1}",4.946981430053711,0.18204980392792589,0.1051065033037066,0.0,0.0,0.0,0.0,0.0,0.0,4.946981430053711,0.18204980392792589,0.1051065033037066,50000.0,0.0,0.0,10116.126304488716,364.9273697785264,210.6909151762943,5000.0,0.0,0.0,0.10000000000000002,0.0,0.0,206.64583333333334,30.68543277363394,17.716242872057723,20.966666666666665,7.735847292529328,4.466293516751645,0.556039571762085,0.1480707147937213,0.08548866704525529,0.06995089848836257,0.0173390084606761,0.010010681202252545,0.09893962860107418,0.003640996078558503,0.0021021300660741234,0.09893962860107418,0.003640996078558503,0.0021021300660741234,0.09893962860107418,0.003640996078558503,0.0021021300660741234,0.0,0.0,0.0,0.0,0.0,0.0,0.09893962860107418,0.003640996078558503,0.0021021300660741234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21818020927879977,0.00019528370816223676,0.0001127471014758157,0.7818197907212001,0.0001952837081622613,0.00011274710147582986,0.09516258196404288,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,50000,differential_privacy,"{""epsilon"": 0.5}",4.796250184377034,0.13521421107002016,0.07806596115953902,0.0,0.0,0.0,0.0,0.0,0.0,4.796250184377034,0.13521421107002016,0.07806596115953902,50000.0,0.0,0.0,10430.278685857764,290.96107835519456,167.98645691207537,5000.0,0.0,0.0,0.10000000000000002,0.0,0.0,220.67708333333334,32.15628163466212,18.565437857909597,19.7,6.860757975617562,3.9610604640676716,0.6683773199717203,0.051854652685641205,0.0299382976867895,0.08213790257771804,0.007109125281866315,0.004104455395188291,0.09592500368754066,0.0027042842214003884,0.0015613192231907719,0.09592500368754066,0.0027042842214003884,0.0015613192231907719,0.09592500368754066,0.0027042842214003884,0.0015613192231907719,0.0,0.0,0.0,0.0,0.0,0.0,0.09592500368754066,0.0027042842214003884,0.0015613192231907719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21145050073112945,9.254079517009639e-05,5.342845300247717e-05,0.7885494992688705,9.25407951700613e-05,5.342845300245691e-05,0.3934693402876867,0.0,0.0,1.0,0.0,0.0,,,
batch,ecommerce,50000,differential_privacy,"{""epsilon"": 1.0}",5.131109396616618,0.2790052587418078,0.16108376123990392,0.0,0.0,0.0,0.0,0.0,0.0,5.131109396616618,0.2790052587418078,0.16108376123990392,50000.0,0.0,0.0,9763.247050425942,517.7580203007062,298.92773239570045,5000.0,0.0,0.0,0.10000000000000002,0.0,0.0,216.31770833333334,36.52730789430298,21.089051045548164,39.7,15.530936868070775,8.966790581547745,0.6409737269083658,0.06145049671953623,0.03547846082286046,0.07092102368672683,0.008024746052724512,0.004633089293718883,0.1026221879323323,0.005580105174836165,0.0032216752247980836,0.1026221879323323,0.005580105174836165,0.0032216752247980836,0.1026221879323323,0.005580105174836165,0.0032216752247980836,0.0,0.0,0.0,0.0,0.0,0.0,0.1026221879323323,0.005580105174836165,0.0032216752247980836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155345241979727,4.2325233908205365e-05,2.4436485190416243e-05,0.7844654758020272,4.232523390826449e-05,2.443648519045038e-05,0.6321205588283635,0.0,0.0,1.0,0.0,0.0,,,
