experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_10000_k_anonymity_1752865964,2025-07-18T20:12:44.814339,batch,healthcare,10000,k_anonymity,"{""k_value"": 3}",3.101516008377075,0,0,3.101516008377075,10000,3224.229690574024,10000,1.0,96.453125,13.5,0.024530887603759766,0.08384585380554199,0.15,0.85,0.5,0.31015160083770754,0.31015160083770754,0.31015160083770754,0,0,0.31015160083770754,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752865970,2025-07-18T20:12:50.584127,batch,healthcare,10000,k_anonymity,"{""k_value"": 5}",2.771522045135498,0,0,2.771522045135498,10000,3608.1257291644984,10000,1.0,72.4375,13.9,0.03141474723815918,0.0683450698852539,0.25,0.75,0.5,0.2771522045135498,0.2771522045135498,0.2771522045135498,0,0,0.2771522045135498,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752865976,2025-07-18T20:12:56.555904,batch,healthcare,10000,k_anonymity,"{""k_value"": 10}",2.946709156036377,0,0,2.946709156036377,10000,3393.61622422588,10000,1.0,68.671875,13.6,0.020470619201660156,0.053543806076049805,0.5,0.5,0.5,0.2946709156036377,0.2946709156036377,0.2946709156036377,0,0,0.2946709156036377,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_k_anonymity_1752865982,2025-07-18T20:13:02.177349,batch,healthcare,10000,k_anonymity,"{""k_value"": 15}",2.6938979625701904,0,0,2.6938979625701904,10000,3712.0930855373654,10000,1.0,65.34375,13.5,0.026549339294433594,0.07361650466918945,0.75,0.25,0.5,0.26938979625701903,0.26938979625701903,0.26938979625701903,0,0,0.26938979625701903,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_10000_differential_privacy_1752865988,2025-07-18T20:13:08.066987,batch,healthcare,10000,differential_privacy,"{""epsilon"": 0.1}",2.912788152694702,0,0,2.912788152694702,10000,3433.136732154283,10000,1.0,73.203125,7.3,0.12610650062561035,0.07746648788452148,0.9,0.09999999999999998,0.5,0.2912788152694702,0.2912788152694702,0.2912788152694702,0,0,0.2912788152694702,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_differential_privacy_1752865993,2025-07-18T20:13:13.931067,batch,healthcare,10000,differential_privacy,"{""epsilon"": 0.5}",2.9394750595092773,0,0,2.9394750595092773,10000,3401.9679696378926,10000,1.0,70.59375,7.5,0.20589280128479004,0.1746971607208252,0.5,0.5,0.5,0.2939475059509277,0.2939475059509277,0.2939475059509277,0,0,0.2939475059509277,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_differential_privacy_1752865999,2025-07-18T20:13:19.822108,batch,healthcare,10000,differential_privacy,"{""epsilon"": 1.0}",2.882321834564209,0,0,2.882321834564209,10000,3469.42519745091,10000,1.0,71.53125,31.4,0.16338658332824707,0.08490371704101562,0.0,1.0,0.5,0.2882321834564209,0.2882321834564209,0.2882321834564209,0,0,0.2882321834564209,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_differential_privacy_1752866005,2025-07-18T20:13:25.826685,batch,healthcare,10000,differential_privacy,"{""epsilon"": 2.0}",3.0749471187591553,0,0,3.0749471187591553,10000,3252.0884469828984,10000,1.0,64.421875,16.3,0.18224263191223145,0.07598614692687988,0.0,1.0,0.5,0.30749471187591554,0.30749471187591554,0.30749471187591554,0,0,0.30749471187591554,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_10000_tokenization_1752866011,2025-07-18T20:13:31.626654,batch,healthcare,10000,tokenization,"{""key_length"": 128}",2.8049631118774414,0,0,2.8049631118774414,10000,3565.109272794221,10000,1.0,67.859375,10.8,0.10728192329406738,0.04989457130432129,0.5,0.5,0.5,0.28049631118774415,0.28049631118774415,0.28049631118774415,0,0,0.28049631118774415,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_10000_tokenization_1752866018,2025-07-18T20:13:38.051144,batch,healthcare,10000,tokenization,"{""key_length"": 256}",3.3675060272216797,0,0,3.3675060272216797,10000,2969.5566746321106,10000,1.0,71.9375,23.8,0.13820314407348633,0.06761789321899414,0.5,0.5,0.5,0.33675060272216795,0.33675060272216795,0.33675060272216795,0,0,0.33675060272216795,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_10000_tokenization_1752866023,2025-07-18T20:13:43.961974,batch,healthcare,10000,tokenization,"{""key_length"": 512}",2.9525110721588135,0,0,2.9525110721588135,10000,3386.947501838905,10000,1.0,85.265625,9.3,0.11647796630859375,0.056531429290771484,0.5,0.5,0.5,0.2952511072158813,0.2952511072158813,0.2952511072158813,0,0,0.2952511072158813,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_10000_k_anonymity_1752866029,2025-07-18T20:13:49.707706,batch,financial,10000,k_anonymity,"{""k_value"": 3}",2.7401881217956543,0,0,2.7401881217956543,10000,3649.384478554329,8801,0.8801,66.984375,23.8,0.01589345932006836,0.024030208587646484,0.15,0.85,0.5,0.2740188121795654,0.2740188121795654,0.2740188121795654,0,0,0.2740188121795654,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752866035,2025-07-18T20:13:55.799741,batch,financial,10000,k_anonymity,"{""k_value"": 5}",2.9972801208496094,0,0,2.9972801208496094,10000,3336.3581636691997,8801,0.8801,68.921875,16.0,0.021101713180541992,0.05089521408081055,0.25,0.75,0.5,0.2997280120849609,0.2997280120849609,0.2997280120849609,0,0,0.2997280120849609,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752866041,2025-07-18T20:14:01.504486,batch,financial,10000,k_anonymity,"{""k_value"": 10}",2.7482099533081055,0,0,2.7482099533081055,10000,3638.7321820018483,8801,0.8801,62.421875,11.2,0.0318303108215332,0.030367612838745117,0.5,0.5,0.5,0.27482099533081056,0.27482099533081056,0.27482099533081056,0,0,0.27482099533081056,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_k_anonymity_1752866047,2025-07-18T20:14:07.421311,batch,financial,10000,k_anonymity,"{""k_value"": 15}",2.826503038406372,0,0,2.826503038406372,10000,3537.940651087416,8801,0.8801,66.71875,9.4,0.028977394104003906,0.028397560119628906,0.75,0.25,0.5,0.2826503038406372,0.2826503038406372,0.2826503038406372,0,0,0.2826503038406372,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_10000_differential_privacy_1752866053,2025-07-18T20:14:13.029006,batch,financial,10000,differential_privacy,"{""epsilon"": 0.1}",2.657043933868408,0,0,2.657043933868408,10000,3763.5809752836612,8801,0.8801,111.609375,12.0,0.06165814399719238,0.03974604606628418,0.9,0.09999999999999998,0.5,0.2657043933868408,0.2657043933868408,0.2657043933868408,0,0,0.2657043933868408,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_10000_differential_privacy_1752866058,2025-07-18T20:14:18.877746,batch,financial,10000,differential_privacy,"{""epsilon"": 0.5}",2.863079071044922,0,0,2.863079071044922,10000,3492.743215209336,8801,0.8801,69.75,13.6,0.07698392868041992,0.03336644172668457,0.5,0.5,0.5,0.28630790710449217,0.28630790710449217,0.28630790710449217,0,0,0.28630790710449217,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_10000_differential_privacy_1752866064,2025-07-18T20:14:24.628025,batch,financial,10000,differential_privacy,"{""epsilon"": 1.0}",2.7765309810638428,0,0,2.7765309810638428,10000,3601.616574135415,8801,0.8801,72.0,14.1,0.04711508750915527,0.02874279022216797,0.0,1.0,0.5,0.2776530981063843,0.2776530981063843,0.2776530981063843,0,0,0.2776530981063843,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
