experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_20000_k_anonymity_1752849223,2025-07-18T15:33:43.255689,batch,healthcare,20000,k_anonymity,"{""k_value"": 3}",3.4065380096435547,0,0,3.4065380096435547,20000,5871.063215317745,20000,1.0,143.5,13.7,0.05310463905334473,0.14993953704833984,0.15,0.85,0.5,0.17032690048217775,0.17032690048217775,0.17032690048217775,0,0,0.17032690048217775,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752849229,2025-07-18T15:33:49.541811,batch,healthcare,20000,k_anonymity,"{""k_value"": 5}",3.255419969558716,0,0,3.255419969558716,20000,6143.600575968413,20000,1.0,101.46875,9.7,0.047272443771362305,0.1181192398071289,0.25,0.75,0.5,0.1627709984779358,0.1627709984779358,0.1627709984779358,0,0,0.1627709984779358,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752849235,2025-07-18T15:33:55.790786,batch,healthcare,20000,k_anonymity,"{""k_value"": 10}",3.2668979167938232,0,0,3.2668979167938232,20000,6122.015596871868,20000,1.0,100.296875,26.1,0.050867319107055664,0.16886210441589355,0.5,0.5,0.5,0.16334489583969117,0.16334489583969117,0.16334489583969117,0,0,0.16334489583969117,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752849241,2025-07-18T15:34:01.969729,batch,healthcare,20000,k_anonymity,"{""k_value"": 15}",3.184788942337036,0,0,3.184788942337036,20000,6279.850992362389,20000,1.0,97.34375,9.4,0.04747605323791504,0.13138222694396973,0.75,0.25,0.5,0.1592394471168518,0.1592394471168518,0.1592394471168518,0,0,0.1592394471168518,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_differential_privacy_1752849248,2025-07-18T15:34:08.259355,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.1}",3.309603691101074,0,0,3.309603691101074,20000,6043.019607990039,20000,1.0,101.453125,10.7,0.24712085723876953,0.1509549617767334,0.9,0.09999999999999998,0.5,0.1654801845550537,0.1654801845550537,0.1654801845550537,0,0,0.1654801845550537,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752849254,2025-07-18T15:34:14.438115,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.5}",3.2234129905700684,0,0,3.2234129905700684,20000,6204.603647906423,20000,1.0,90.390625,8.0,0.22550106048583984,0.13082671165466309,0.5,0.5,0.5,0.1611706495285034,0.1611706495285034,0.1611706495285034,0,0,0.1611706495285034,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752849260,2025-07-18T15:34:20.823157,batch,healthcare,20000,differential_privacy,"{""epsilon"": 1.0}",3.393622875213623,0,0,3.393622875213623,20000,5893.406761863907,20000,1.0,104.21875,10.0,0.2847898006439209,0.1721501350402832,0.0,1.0,0.5,0.16968114376068116,0.16968114376068116,0.16968114376068116,0,0,0.16968114376068116,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752849267,2025-07-18T15:34:27.077652,batch,healthcare,20000,differential_privacy,"{""epsilon"": 2.0}",3.3407180309295654,0,0,3.3407180309295654,20000,5986.736927460752,20000,1.0,104.46875,77.6,0.4067254066467285,0.18171024322509766,0.0,1.0,0.5,0.16703590154647827,0.16703590154647827,0.16703590154647827,0,0,0.16703590154647827,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_tokenization_1752849273,2025-07-18T15:34:33.335094,batch,healthcare,20000,tokenization,"{""key_length"": 128}",3.248420000076294,0,0,3.248420000076294,20000,6156.839324819534,20000,1.0,102.140625,17.1,0.27108120918273926,0.13861703872680664,0.5,0.5,0.5,0.1624210000038147,0.1624210000038147,0.1624210000038147,0,0,0.1624210000038147,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_20000_tokenization_1752849279,2025-07-18T15:34:39.502158,batch,healthcare,20000,tokenization,"{""key_length"": 256}",3.167896270751953,0,0,3.167896270751953,20000,6313.338029610631,20000,1.0,167.078125,8.2,0.2303915023803711,0.1074976921081543,0.5,0.5,0.5,0.15839481353759766,0.15839481353759766,0.15839481353759766,0,0,0.15839481353759766,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
