experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_financial_20000_k_anonymity_1752868743,2025-07-18T20:59:03.104258,batch,financial,20000,k_anonymity,"{""k_value"": 10}",3.160902976989746,0,0,3.160902976989746,20000,6327.305882399085,17593,0.87965,134.234375,10.7,0.057813167572021484,0.0800626277923584,0.5,0.5,0.5,0.1580451488494873,0.1580451488494873,0.1580451488494873,0,0,0.1580451488494873,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_20000_k_anonymity_1752868749,2025-07-18T20:59:09.446858,batch,financial,20000,k_anonymity,"{""k_value"": 15}",3.180101156234741,0,0,3.180101156234741,20000,6289.108118711582,17593,0.87965,125.765625,9.7,0.04013705253601074,0.09186553955078125,0.75,0.25,0.5,0.15900505781173707,0.15900505781173707,0.15900505781173707,0,0,0.15900505781173707,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_financial_20000_differential_privacy_1752868755,2025-07-18T20:59:15.603408,batch,financial,20000,differential_privacy,"{""epsilon"": 0.1}",3.171401262283325,0,0,3.171401262283325,20000,6306.360610325459,17593,0.87965,91.390625,23.0,0.09173583984375,0.05327486991882324,0.9,0.09999999999999998,0.5,0.15857006311416627,0.15857006311416627,0.15857006311416627,0,0,0.15857006311416627,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_20000_differential_privacy_1752868762,2025-07-18T20:59:22.075670,batch,financial,20000,differential_privacy,"{""epsilon"": 0.5}",3.411600112915039,0,0,3.411600112915039,20000,5862.351781584101,17593,0.87965,99.125,8.4,0.1057441234588623,0.06656599044799805,0.5,0.5,0.5,0.17058000564575196,0.17058000564575196,0.17058000564575196,0,0,0.17058000564575196,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_20000_differential_privacy_1752868768,2025-07-18T20:59:28.312779,batch,financial,20000,differential_privacy,"{""epsilon"": 1.0}",3.2255971431732178,0,0,3.2255971431732178,20000,6200.402316925657,17593,0.87965,78.15625,7.2,0.14061594009399414,0.07761788368225098,0.0,1.0,0.5,0.1612798571586609,0.1612798571586609,0.1612798571586609,0,0,0.1612798571586609,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_20000_differential_privacy_1752868774,2025-07-18T20:59:34.900009,batch,financial,20000,differential_privacy,"{""epsilon"": 2.0}",3.4256439208984375,0,0,3.4256439208984375,20000,5838.318418907543,17593,0.87965,78.34375,7.1,0.12470173835754395,0.07545661926269531,0.0,1.0,0.5,0.17128219604492187,0.17128219604492187,0.17128219604492187,0,0,0.17128219604492187,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_financial_20000_tokenization_1752868781,2025-07-18T20:59:41.217866,batch,financial,20000,tokenization,"{""key_length"": 128}",3.2343268394470215,0,0,3.2343268394470215,20000,6183.666955383963,17593,0.87965,91.578125,27.7,0.1612231731414795,0.06468439102172852,0.5,0.5,0.5,0.16171634197235107,0.16171634197235107,0.16171634197235107,0,0,0.16171634197235107,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_20000_tokenization_1752868787,2025-07-18T20:59:47.628263,batch,financial,20000,tokenization,"{""key_length"": 256}",3.3203399181365967,0,0,3.3203399181365967,20000,6023.479671691015,17593,0.87965,89.671875,18.5,0.18558645248413086,0.06741952896118164,0.5,0.5,0.5,0.16601699590682983,0.16601699590682983,0.16601699590682983,0,0,0.16601699590682983,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_20000_tokenization_1752868794,2025-07-18T20:59:54.669261,batch,financial,20000,tokenization,"{""key_length"": 512}",3.986661195755005,0,0,3.986661195755005,20000,5016.729292495683,17593,0.87965,106.828125,43.4,0.1703810691833496,0.08359551429748535,0.5,0.5,0.5,0.19933305978775023,0.19933305978775023,0.19933305978775023,0,0,0.19933305978775023,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_ecommerce_20000_k_anonymity_1752868801,2025-07-18T21:00:01.053927,batch,ecommerce,20000,k_anonymity,"{""k_value"": 3}",3.2280220985412598,0,0,3.2280220985412598,20000,6195.74444953087,2000,0.1,132.4375,24.5,0.030521631240844727,0.022180795669555664,0.15,0.85,0.5,0.161401104927063,0.161401104927063,0.161401104927063,0,0,0.161401104927063,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_ecommerce_20000_k_anonymity_1752868807,2025-07-18T21:00:07.492196,batch,ecommerce,20000,k_anonymity,"{""k_value"": 5}",3.3826019763946533,0,0,3.3826019763946533,20000,5912.608145909322,2000,0.1,94.8125,33.2,0.037685394287109375,0.0312042236328125,0.25,0.75,0.5,0.16913009881973268,0.16913009881973268,0.16913009881973268,0,0,0.16913009881973268,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_ecommerce_20000_k_anonymity_1752868813,2025-07-18T21:00:13.938866,batch,ecommerce,20000,k_anonymity,"{""k_value"": 10}",3.334928035736084,0,0,3.334928035736084,20000,5997.130908279287,2000,0.1,91.609375,20.5,0.03590798377990723,0.0220947265625,0.5,0.5,0.5,0.1667464017868042,0.1667464017868042,0.1667464017868042,0,0,0.1667464017868042,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_ecommerce_20000_k_anonymity_1752868820,2025-07-18T21:00:20.479078,batch,ecommerce,20000,k_anonymity,"{""k_value"": 15}",3.458570957183838,0,0,3.458570957183838,20000,5782.7351954302885,2000,0.1,89.8125,31.8,0.03270411491394043,0.045274972915649414,0.75,0.25,0.5,0.1729285478591919,0.1729285478591919,0.1729285478591919,0,0,0.1729285478591919,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_ecommerce_20000_differential_privacy_1752868826,2025-07-18T21:00:26.949768,batch,ecommerce,20000,differential_privacy,"{""epsilon"": 0.1}",3.36297607421875,0,0,3.36297607421875,20000,5947.113377738253,2000,0.1,105.40625,22.6,0.23580169677734375,0.031659603118896484,0.9,0.09999999999999998,0.5,0.1681488037109375,0.1681488037109375,0.1681488037109375,0,0,0.1681488037109375,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_ecommerce_20000_differential_privacy_1752868833,2025-07-18T21:00:33.261255,batch,ecommerce,20000,differential_privacy,"{""epsilon"": 0.5}",3.241870880126953,0,0,3.241870880126953,20000,6169.277167268547,2000,0.1,93.828125,21.5,0.18220019340515137,0.024257421493530273,0.5,0.5,0.5,0.16209354400634765,0.16209354400634765,0.16209354400634765,0,0,0.16209354400634765,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_ecommerce_20000_differential_privacy_1752868839,2025-07-18T21:00:39.807096,batch,ecommerce,20000,differential_privacy,"{""epsilon"": 1.0}",3.4484567642211914,0,0,3.4484567642211914,20000,5799.695738542006,2000,0.1,97.84375,20.2,0.21827292442321777,0.02423715591430664,0.0,1.0,0.5,0.17242283821105958,0.17242283821105958,0.17242283821105958,0,0,0.17242283821105958,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_ecommerce_20000_differential_privacy_1752868846,2025-07-18T21:00:46.138311,batch,ecommerce,20000,differential_privacy,"{""epsilon"": 2.0}",3.2618319988250732,0,0,3.2618319988250732,20000,6131.523636779604,2000,0.1,100.328125,25.0,0.28934168815612793,0.0363774299621582,0.0,1.0,0.5,0.16309159994125366,0.16309159994125366,0.16309159994125366,0,0,0.16309159994125366,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_ecommerce_20000_tokenization_1752868852,2025-07-18T21:00:52.939944,batch,ecommerce,20000,tokenization,"{""key_length"": 128}",3.603109121322632,0,0,3.603109121322632,20000,5550.761669038318,2000,0.1,106.34375,20.7,0.16604995727539062,0.024797439575195312,0.5,0.5,0.5,0.1801554560661316,0.1801554560661316,0.1801554560661316,0,0,0.1801554560661316,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_ecommerce_20000_tokenization_1752868859,2025-07-18T21:00:59.423948,batch,ecommerce,20000,tokenization,"{""key_length"": 256}",3.3669040203094482,0,0,3.3669040203094482,20000,5940.175270622007,2000,0.1,134.328125,17.6,0.12524032592773438,0.02034282684326172,0.5,0.5,0.5,0.1683452010154724,0.1683452010154724,0.1683452010154724,0,0,0.1683452010154724,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_ecommerce_20000_tokenization_1752868865,2025-07-18T21:01:05.642237,batch,ecommerce,20000,tokenization,"{""key_length"": 512}",3.1703686714172363,0,0,3.1703686714172363,20000,6308.414595536451,2000,0.1,103.640625,31.2,0.13674330711364746,0.02333807945251465,0.5,0.5,0.5,0.15851843357086182,0.15851843357086182,0.15851843357086182,0,0,0.15851843357086182,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
