experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_40000_k_anonymity_1752870133,2025-07-18T21:22:13.415237,batch,healthcare,40000,k_anonymity,"{""k_value"": 3}",5.02349328994751,0,0,5.02349328994751,40000,7962.5865291875325,40000,1.0,221.3125,14.5,0.12245607376098633,0.34990882873535156,0.15,0.85,0.5,0.12558733224868773,0.12558733224868773,0.12558733224868773,0,0,0.12558733224868773,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752870140,2025-07-18T21:22:20.644299,batch,healthcare,40000,k_anonymity,"{""k_value"": 5}",4.0912182331085205,0,0,4.0912182331085205,40000,9777.038945587577,40000,1.0,209.90625,12.6,0.1191704273223877,0.29174280166625977,0.25,0.75,0.5,0.10228045582771302,0.10228045582771302,0.10228045582771302,0,0,0.10228045582771302,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752870148,2025-07-18T21:22:28.034745,batch,healthcare,40000,k_anonymity,"{""k_value"": 10}",4.421053886413574,0,0,4.421053886413574,40000,9047.616479619208,40000,1.0,192.140625,10.2,0.14265751838684082,0.30017852783203125,0.5,0.5,0.5,0.11052634716033935,0.11052634716033935,0.11052634716033935,0,0,0.11052634716033935,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752870155,2025-07-18T21:22:35.145488,batch,healthcare,40000,k_anonymity,"{""k_value"": 15}",4.108695983886719,0,0,4.108695983886719,40000,9735.448949464751,40000,1.0,156.796875,20.2,0.10891103744506836,0.2925422191619873,0.75,0.25,0.5,0.10271739959716797,0.10271739959716797,0.10271739959716797,0,0,0.10271739959716797,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_differential_privacy_1752870162,2025-07-18T21:22:42.709548,batch,healthcare,40000,differential_privacy,"{""epsilon"": 0.1}",4.425802946090698,0,0,4.425802946090698,40000,9037.908033237654,40000,1.0,168.9375,15.8,0.4193406105041504,0.2762577533721924,0.9,0.09999999999999998,0.5,0.11064507365226746,0.11064507365226746,0.11064507365226746,0,0,0.11064507365226746,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752870169,2025-07-18T21:22:49.917634,batch,healthcare,40000,differential_privacy,"{""epsilon"": 0.5}",4.152307033538818,0,0,4.152307033538818,40000,9633.199008867574,40000,1.0,213.640625,9.9,0.43540501594543457,0.2368144989013672,0.5,0.5,0.5,0.10380767583847046,0.10380767583847046,0.10380767583847046,0,0,0.10380767583847046,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752870177,2025-07-18T21:22:57.454472,batch,healthcare,40000,differential_privacy,"{""epsilon"": 1.0}",4.476975917816162,0,0,4.476975917816162,40000,8934.602449126356,40000,1.0,208.03125,39.6,0.535222053527832,0.2747931480407715,0.0,1.0,0.5,0.11192439794540406,0.11192439794540406,0.11192439794540406,0,0,0.11192439794540406,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752870185,2025-07-18T21:23:05.035518,batch,healthcare,40000,differential_privacy,"{""epsilon"": 2.0}",4.597661972045898,0,0,4.597661972045898,40000,8700.074134027851,40000,1.0,189.375,34.9,0.6414570808410645,0.2868494987487793,0.0,1.0,0.5,0.11494154930114746,0.11494154930114746,0.11494154930114746,0,0,0.11494154930114746,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_tokenization_1752870192,2025-07-18T21:23:12.506868,batch,healthcare,40000,tokenization,"{""key_length"": 128}",4.237605094909668,0,0,4.237605094909668,40000,9439.29391817306,40000,1.0,193.09375,55.2,0.5582590103149414,0.2758779525756836,0.5,0.5,0.5,0.1059401273727417,0.1059401273727417,0.1059401273727417,0,0,0.1059401273727417,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_40000_tokenization_1752870200,2025-07-18T21:23:20.107296,batch,healthcare,40000,tokenization,"{""key_length"": 256}",4.333895921707153,0,0,4.333895921707153,40000,9229.570973232718,40000,1.0,185.546875,20.8,0.5624139308929443,0.2870934009552002,0.5,0.5,0.5,0.10834739804267883,0.10834739804267883,0.10834739804267883,0,0,0.10834739804267883,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
