experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_40000_k_anonymity_1752871771,2025-07-18T21:49:31.135615,batch,healthcare,40000,k_anonymity,"{""k_value"": 3}",4.27876615524292,0,0,4.27876615524292,40000,9348.489388929707,40000,1.0,218.46875,11.9,0.10430788993835449,0.24284934997558594,0.15,0.85,0.5,0.106969153881073,0.106969153881073,0.106969153881073,0,0,0.106969153881073,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752871778,2025-07-18T21:49:38.416642,batch,healthcare,40000,k_anonymity,"{""k_value"": 5}",4.15410304069519,0,0,4.15410304069519,40000,9629.034140016418,40000,1.0,181.125,9.0,0.13596343994140625,0.2816131114959717,0.25,0.75,0.5,0.10385257601737977,0.10385257601737977,0.10385257601737977,0,0,0.10385257601737977,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752871785,2025-07-18T21:49:45.607387,batch,healthcare,40000,k_anonymity,"{""k_value"": 10}",4.167320013046265,0,0,4.167320013046265,40000,9598.494925941732,40000,1.0,176.9375,13.7,0.09405708312988281,0.21936297416687012,0.5,0.5,0.5,0.10418300032615661,0.10418300032615661,0.10418300032615661,0,0,0.10418300032615661,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_k_anonymity_1752871792,2025-07-18T21:49:52.796933,batch,healthcare,40000,k_anonymity,"{""k_value"": 15}",4.154453992843628,0,0,4.154453992843628,40000,9628.220716585893,40000,1.0,201.578125,10.8,0.08684086799621582,0.24984312057495117,0.75,0.25,0.5,0.1038613498210907,0.1038613498210907,0.1038613498210907,0,0,0.1038613498210907,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_40000_differential_privacy_1752871799,2025-07-18T21:49:59.994337,batch,healthcare,40000,differential_privacy,"{""epsilon"": 0.1}",4.211429119110107,0,0,4.211429119110107,40000,9497.963486668432,40000,1.0,168.9375,11.2,0.3917660713195801,0.26461362838745117,0.9,0.09999999999999998,0.5,0.10528572797775268,0.10528572797775268,0.10528572797775268,0,0,0.10528572797775268,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752871807,2025-07-18T21:50:07.324683,batch,healthcare,40000,differential_privacy,"{""epsilon"": 0.5}",4.279746055603027,0,0,4.279746055603027,40000,9346.348937603938,40000,1.0,168.703125,6.8,0.5802934169769287,0.32790565490722656,0.5,0.5,0.5,0.10699365139007569,0.10699365139007569,0.10699365139007569,0,0,0.10699365139007569,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752871814,2025-07-18T21:50:14.817334,batch,healthcare,40000,differential_privacy,"{""epsilon"": 1.0}",4.498290777206421,0,0,4.498290777206421,40000,8892.26641432043,40000,1.0,188.09375,11.7,0.5148825645446777,0.2500267028808594,0.0,1.0,0.5,0.11245726943016052,0.11245726943016052,0.11245726943016052,0,0,0.11245726943016052,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_differential_privacy_1752871822,2025-07-18T21:50:22.096082,batch,healthcare,40000,differential_privacy,"{""epsilon"": 2.0}",4.2479259967803955,0,0,4.2479259967803955,40000,9416.359896645317,40000,1.0,217.84375,14.6,0.5837888717651367,0.26088380813598633,0.0,1.0,0.5,0.10619814991950989,0.10619814991950989,0.10619814991950989,0,0,0.10619814991950989,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_40000_tokenization_1752871829,2025-07-18T21:50:29.383279,batch,healthcare,40000,tokenization,"{""key_length"": 128}",4.2557642459869385,0,0,4.2557642459869385,40000,9399.016883446688,40000,1.0,163.234375,8.7,0.5704915523529053,0.273073673248291,0.5,0.5,0.5,0.10639410614967346,0.10639410614967346,0.10639410614967346,0,0,0.10639410614967346,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_40000_tokenization_1752871836,2025-07-18T21:50:36.555406,batch,healthcare,40000,tokenization,"{""key_length"": 256}",4.136475086212158,0,0,4.136475086212158,40000,9670.069120766468,40000,1.0,174.140625,21.0,0.5165574550628662,0.28250646591186523,0.5,0.5,0.5,0.10341187715530395,0.10341187715530395,0.10341187715530395,0,0,0.10341187715530395,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
